firm_id,state,firm_size,sector,has_bank_account,applied_for_credit,credit_approved,annual_revenue_usd,credit_gap_usd,data_sparse_region,credit_constrained
1,Maharashtra,Small,Manufacturing,1,1,1,850000,0,0,0
2,Maharashtra,Medium,Services,1,1,1,2100000,0,0,0
3,Maharashtra,Micro,Retail,1,0,0,45000,150000,0,1
4,Maharashtra,Small,Manufacturing,1,1,1,620000,0,0,0
5,Maharashtra,Medium,Services,1,1,1,1800000,0,0,0
6,Karnataka,Small,Services,1,1,1,950000,0,0,0
7,Karnataka,Medium,Manufacturing,1,1,1,3200000,0,0,0
8,Karnataka,Small,IT,1,0,0,780000,200000,0,1
9,Karnataka,Micro,Retail,1,0,0,28000,80000,0,1
10,Karnataka,Medium,Services,1,1,1,1500000,0,0,0
11,Tamil Nadu,Medium,Manufacturing,1,1,1,1200000,0,0,0
12,Tamil Nadu,Small,Retail,1,0,0,320000,100000,0,1
13,Tamil Nadu,Small,Services,1,1,1,560000,0,0,0
14,Tamil Nadu,Micro,Retail,1,0,0,18000,60000,0,1
15,Tamil Nadu,Medium,Manufacturing,1,1,1,2800000,0,0,0
16,Gujarat,Medium,Manufacturing,1,1,1,1900000,0,0,0
17,Gujarat,Small,Services,1,1,1,430000,0,0,0
18,Gujarat,Small,Manufacturing,1,1,1,890000,0,0,0
19,Gujarat,Medium,Retail,1,0,0,2100000,300000,0,1
20,Gujarat,Micro,Retail,1,0,0,12000,40000,0,1
21,West Bengal,Micro,Retail,1,0,0,95000,120000,0,1
22,West Bengal,Small,Retail,1,1,1,185000,0,0,0
23,West Bengal,Micro,Retail,0,0,0,8000,30000,0,1
24,West Bengal,Micro,Micro-enterprise,1,0,0,15000,50000,0,1
25,West Bengal,Small,Services,1,1,0,220000,180000,0,1
26,Uttar Pradesh,Micro,Agriculture,0,0,0,32000,90000,1,1
27,Uttar Pradesh,Micro,Retail,1,0,0,28000,80000,1,1
28,Uttar Pradesh,Small,Retail,1,1,0,145000,0,1,1
29,Uttar Pradesh,Micro,Agriculture,0,0,0,18000,70000,1,1
30,Uttar Pradesh,Micro,Agriculture,0,0,0,12000,60000,1,1
31,Rajasthan,Small,Agriculture,1,1,0,185000,0,1,1
32,Rajasthan,Micro,Retail,0,0,0,9000,50000,1,1
33,Rajasthan,Micro,Agriculture,0,0,0,14000,55000,1,1
34,Rajasthan,Small,Retail,1,0,0,210000,250000,1,1
35,Rajasthan,Micro,Agriculture,0,0,0,11000,45000,1,1
36,Bihar,Micro,Agriculture,0,0,0,8000,40000,1,1
37,Bihar,Micro,Agriculture,0,0,0,7000,38000,1,1
38,Bihar,Micro,Agriculture,0,0,0,9000,42000,1,1
39,Bihar,Micro,Retail,0,0,0,11000,35000,1,1
40,Bihar,Micro,Agriculture,0,0,0,6000,30000,1,1
41,Odisha,Micro,Agriculture,0,0,0,7000,35000,1,1
42,Odisha,Micro,Agriculture,0,0,0,8000,38000,1,1
43,Odisha,Small,Retail,1,0,0,95000,0,1,0
44,Odisha,Micro,Agriculture,0,0,0,6000,32000,1,1
45,Odisha,Micro,Agriculture,0,0,0,7000,28000,1,1
46,Jharkhand,Micro,Agriculture,0,0,0,5000,25000,1,1
47,Jharkhand,Micro,Agriculture,0,0,0,6000,28000,1,1
48,Jharkhand,Micro,Agriculture,0,0,0,7000,30000,1,1
49,Jharkhand,Micro,Agriculture,0,0,0,6000,27000,1,1
50,Jharkhand,Small,Retail,1,0,0,45000,0,1,0
